slgppf,date,claims,corpequity,entitlement,finassets,mfshares,mortgages,otherassets,gdp,mfstockshare,slgtax,invassets,redirect,fr.mv,equity,equityshare,equityslgtax,equitygdpshare
Private,1990-01-01,585509,1369226,4319739,4199243,26478,76202,226391,23852578,0.42596234022699525,2076494,3734230,120496,86.4457320222356,1597434.67101086,42.77815429180474,76.92941424395447,6.6971153852252785
Private,1991-01-01,441668,1689825,4570370,4455922,39529,61935,179479,24632517,0.40847905354829084,2177111,4128702,114448,90.33627474362032,1893733.180559504,45.867519151527624,86.983767964036,7.687940215608109
Private,1992-01-01,534437,1810499,4815719,4711003,55313,43904,139292,26081310,0.4334679889543824,2319065,4281282,104716,88.90223868959131,1999570.0379904676,46.70493646506975,86.22311310767347,7.666677931401711
Private,1993-01-01,332771,2131444,5061741,4968235,78204,36969,144456,27434234,0.45866744248777674,2418961,4728970,93506,93.42576002999759,2327076.8927443284,49.208958668469634,96.20150522246239,8.482383334429269
Private,1994-01-01,325551,2191394,5309198,5198971,112776,26970,136079,29148948,0.5138986673946665,2576889,4983647,110227,93.86816991944923,2429507.2528744997,48.74958545166822,94.28063268827255,8.334802521430618
Private,1995-01-01,-237292,2614537,5558497,5401422,233746,19094,135952,30559e3,0.5805684441075791,2688459,5795789,157075,104.26899573751682,2986246.9926496837,51.52442562435734,111.07653092904461,9.772070397099656
Private,1996-01-01,-521453,2902479,5804171,5633173,325971,19484,158270,32292488,0.6367335332077816,2838383,6325624,170998,108.98410815256821,3381809.482854069,53.46206924177076,119.14563618983306,10.47243396933079
Private,1997-01-01,-946328,3282812,6049917,5865386,442674,20153,168055,34310210,0.685312051929353,2999686,6996245,184531,115.64199971669034,3885882.944162762,55.542408022628734,129.54299030507732,11.32573348913563
Private,1998-01-01,-1073856,3582393,6464308,6263381,570370,20987,172466,36251268,0.7086227558255737,3179719,7538164,200927,116.61207974620021,4309710.493446446,57.17188553401659,135.537463953464,11.88844068418916
Private,1999-01-01,-1196963,3766877,6886194,6658929,717312,19949,194872,38522649,0.7466607092465432,3361741,8083157,227265,117.38206910813143,4675233.952403349,57.839207532444924,139.0718069120539,12.13632518470718
Private,2000-01-01,-1369421,4402002,7196587,6998551,918809,17529,154694,41009383,0.7812620382983885,3572975,8566008,198036,119.02875627015972,5438725.141899435,63.491945628575586,152.21839340883815,13.262148181793993
Private,2001-01-01,289382,4004760,7657893,7470126,714692,17830,112784,42327286,0.7301346054783835,3657112,7368511,187767,96.22112766527295,4796695.8628028305,65.09722062982372,131.1607591674204,11.332396465964841
Private,2002-01-01,1110011,3712178,8004025,7824861,772684,18177,91703,43745672,0.6827775619864275,3695660,6894014,179164,86.13183991804124,4481526.048472762,65.00604797832963,121.26456569253563,10.244501555428757
Private,2003-01-01,726986,4219475,8192292,8028489,740578,17625,91268,45832985,0.6713979567484222,3897252,7465306,163803,91.12597549013145,4941777.704729348,66.19658597690903,126.80159519398151,10.782142390964387
Private,2004-01-01,204834,4934112,8613304,8448304,867320,17944,97088,48854919,0.7137556918995417,4241072,8408470,165e3,97.62188818599692,5787463.699313453,68.82897482316585,136.46228357626217,11.846225145339927
Private,2005-01-01,81008,5354432,9035027,8876526,971958,16973,92592,52146548,0.7284632072208806,4692836,8954019,158501,99.10340057644544,6288418.507246989,70.23012244274877,134.00038925815835,12.059127110862619
Private,2006-01-01,96829,4391047,9441374,9287630,1182185,68594,648201,55258437,0.7424537813385026,5032600,9344545,153744,98.97441834207605,5903768.007009056,63.178763728025885,117.3104957081639,10.683921456209585
Private,2007-01-01,-218955,4861620,9925240,9781650,1328e3,103996,696938,57807438,0.750310339655324,5286687,10144195,143590,102.20604237277891,6524541.918560972,64.31798598667487,123.41456792431578,11.28668237911006
Private,2008-01-01,1437242,3821343,10314573,10171286,1209033,87409,739641,58851380,0.697038807377434,5336222,8877331,143287,86.06590888444921,5322931.400927413,59.960943226375285,99.75093616658776,9.044701077404495
Private,2009-01-01,2442134,3055149,10545629,10400157,1151029,71036,821892,57795730,0.6424915199484914,5063076,8103495,145472,76.84221586023935,4468206.012028297,55.139245622145715,88.25081851483758,7.731031361708378
Private,2010-01-01,1986213,3647028,11161318,11015265,1316176,71038,885282,59968208,0.6373616763794339,5225755,9175105,146053,82.20449412874,5196205.961358916,56.63374927435616,99.43454986617084,8.664934528907244
Private,2011-01-01,1876144,3860945,11768423,11622263,1427784,66723,952310,62170327,0.6333366534887247,5465661,9892279,146160,84.05781301368927,5514505.768948592,55.74555437577723,100.89366627290994,8.86999640350708
Private,2012-01-01,1539431,4145760,12128881,11982782,1463758,62796,1035654,64788029,0.6132304657509352,5658978,10589450,146099,87.30772443063792,5824574.584863476,55.00356094852402,102.92626309668418,8.990201854826415
Private,2013-01-01,2083503,4473042,13215215,13069127,1547267,59938,1065630,67139400,0.6417336245177845,5962364,11131712,146088,84.23405899941847,6295913.862301646,56.55836103468762,105.59425527025263,9.377375821502197
Private,2014-01-01,2151098,4567748,13836184,13690063,1689789,58584,1116070,70086987,0.666837953384704,6173891,11685086,146121,84.45309776163717,6584922.273046052,56.35322044738098,106.65757255912118,9.395356477581283
Private,2015-01-01,2280452,4399547,13790860,13644574,1607110,56880,1135807,72877185,0.6676186539737056,6371046,11510408,146286,83.46403342503658,6377055.555501594,55.4025153191928,100.09432604162008,8.750414214684053
Private,2016-01-01,2284065,4318085,13786652,13640210,1569855,56860,1155189,74828750,0.6598669464897932,6514127,11502587,146442,83.43277976407906,6262693.463330332,54.44595605606227,96.14018061561177,8.369368008058844
Private,2017-01-01,1783984,4723491,13836887,13690493,1669207,57190,1182316,77941575,0.674181535854724,6759398,12052903,146394,87.10704221260173,6792329.15566507,56.35430033465855,100.48719065906565,8.71464190409941
Private,2018-01-01,746530,2477936,6903852,6830698,829741,28339,600229,40452918,0.6814691191314796,3505722,6157322,73154,89.18676124575093,3525570.396284442,57.258178089182955,100.56617142729634,8.715243721811222
State & local,1990-01-01,2193314,1085292,5099072,5057848,30370,61796,29894,23852578,0.42596234022699525,2076494,2905758,41224,56.98601627904058,1152186.1944714396,39.651829039838816,55.48709480843381,4.830447234975773
State & local,1991-01-01,2351944,1408350,5654839,5597616,45340,66445,18326,24632517,0.40847905354829084,2177111,3302895,57223,58.40829420607731,1491579.2274232055,45.159753108203724,68.51185940557029,6.055326085528351
State & local,1992-01-01,2912541,1612152,6544618,6469904,63444,65998,18060,26081310,0.4334679889543824,2319065,3632077,74714,55.497158122903436,1722195.374971738,47.4162682941947,74.2624883292076,6.603178195312038
State & local,1993-01-01,3146214,1923256,7259630,7165541,89701,59735,17773,27434234,0.45866744248777674,2418961,4113416,94089,56.661510297356756,2066639.8247139314,50.2414495571061,85.43502043703604,7.533069174499027
State & local,1994-01-01,3457716,2028872,7792172,7691199,129356,59801,17114,29148948,0.5138986673946665,2576889,4334456,100973,55.62577417438938,2205115.7378132967,50.87410595039601,85.5727871015514,7.564992526705584
State & local,1995-01-01,3328133,2541903,8415513,8307403,229052,62639,18443,30559e3,0.5805684441075791,2688459,5087380,108110,60.452404981134244,2793700.7870744052,54.914332860419414,103.91457660594435,9.141990206074823
State & local,1996-01-01,3155452,3148288,9021174,8905346,272343,65710,21381,32292488,0.6367335332077816,2838383,5865722,115828,65.02171446864898,3451139.9203079226,58.83572253011518,121.58823951200111,10.687129218126278
State & local,1997-01-01,2699990,3884834,9589798,9466545,343624,69095,21018,34310210,0.685312051929353,2999686,6889808,123253,71.84518380887688,4257980.557239624,61.80114971621305,141.94754241742714,12.410243356830588
State & local,1998-01-01,2383951,4519509,10268670,10138391,425290,83263,23296,36251268,0.7086227558255737,3179719,7884719,130279,76.78422814249556,4967666.247544771,63.00371956876042,156.22972493936638,13.703427553333503
State & local,1999-01-01,2183793,5168918,11054744,10907565,512175,96303,26466,38522649,0.7466607092465432,3361741,8870951,147179,80.24564838407836,5718279.071089268,64.46072209269636,170.09873964381157,14.843940433819252
State & local,2000-01-01,2248041,5587067,11901313,11713262,655682,92944,29894,41009383,0.7812620382983885,3572975,9653272,188051,81.11098330075009,6310732.503168456,65.37402554458691,176.62403188291148,15.388508778999324
State & local,2001-01-01,3980335,4837475,12826554,12650648,698270,84293,38955,42327286,0.7301346054783835,3657112,8846219,175906,68.96800964623858,5551654.484523801,62.75737108163161,151.80433316025872,13.116018079977538
State & local,2002-01-01,5134403,4586301,13721959,13548696,684769,85031,209706,43745672,0.6827775619864275,3695660,8587556,173263,62.582580227794004,5370291.4597578095,62.53573728960614,145.31346118846997,12.276166336541383
State & local,2003-01-01,5653333,4701857,14534386,14350989,840483,85592,310790,45832985,0.6713979567484222,3897252,8881053,183397,61.10373702748778,5658216.339859626,63.71109754507294,145.18476967513587,12.345293111194103
State & local,2004-01-01,5851763,5257232,15854661,15681049,1018634,61415,355565,48854919,0.7137556918995417,4241072,10002898,173612,63.09121336621452,6411686.358052658,64.09828789669412,151.180794809724,13.123932020136312
State & local,2005-01-01,6262732,6000507,17067217,16879952,1023094,44442,387354,52146548,0.7284632072208806,4692836,10804485,187265,63.30548794217593,7215231.473698277,66.7799665944122,153.74991739959114,13.836450830260667
State & local,2006-01-01,6156120,6755472,18077678,17786721,1094324,55222,428005,55258437,0.7424537813385026,5032600,11921558,290957,65.94629022599031,8176687.922491262,68.58741049191106,162.4744251975373,14.797175538083462
State & local,2007-01-01,6213629,7344632,19156248,18734409,1128633,79787,449738,57807438,0.750310339655324,5286687,12942619,421839,67.56343413386588,8950739.081112113,69.15709317497574,169.30714984851784,15.483715229019685
State & local,2008-01-01,8658036,6408886,20245041,19827106,825866,71395,407939,58851380,0.697038807377434,5336222,11587005,417935,57.23379369792336,7686830.965736315,66.34010225883492,144.05005949408243,13.061428577777301
State & local,2009-01-01,11007349,5596152,21147888,20747871,614057,47941,313490,57795730,0.6424915199484914,5063076,10140539,400017,47.95059913311438,6592110.081853664,65.00749202634755,130.19970630213064,11.405877357814607
State & local,2010-01-01,11308112,6450946,22546887,22142e3,663971,46866,357587,59968208,0.6373616763794339,5225755,11238775,404887,49.84623819687392,7506934.919398822,66.79495691833694,143.652638124038,12.518191171226631
State & local,2011-01-01,11957848,6900540,23658228,23218965,558747,48501,428189,62170327,0.6333366534887247,5465661,11700380,439263,49.45585950055093,7964865.743447548,68.07356464873405,145.72557177343322,12.811362152635208
State & local,2012-01-01,11983584,7717878,24398172,23911006,214900,42413,431017,64788029,0.6132304657509352,5658978,12414588,487166,50.883271090965344,8601139.982746447,69.28252458113347,151.99104825547028,13.275816714143977
State & local,2013-01-01,13435705,8502147,26972228,26431827,403587,32228,438013,67139400,0.6417336245177845,5962364,13536523,540401,50.18689223596952,9582631.018394167,70.79093367177204,160.71865150121943,14.272738538613938
State & local,2014-01-01,14563072,9071406,29253505,28632934,592783,32652,445685,70086987,0.666837953384704,6173891,14690433,620571,50.2176850261191,10384466.875775507,70.68863712713919,168.19971191223667,14.816540588020294
State & local,2015-01-01,15653516,9128082,30549107,29954971,750028,35330,450618,72877185,0.6676186539737056,6371046,14895591,594136,48.759497290706406,10523791.666418914,70.6503801455002,165.18153638223478,14.44044753707064
State & local,2016-01-01,16664158,9117200,31714915,31207783,845606,50314,523023,74828750,0.6598669464897932,6514127,15050757,507132,47.45640024575188,10527445.039107379,69.9462826959958,161.60945340960313,14.06871695585905
State & local,2017-01-01,16492425,10162265,32882429,32500335,981128,24939,711191,77941575,0.674181535854724,6759398,16390004,382094,49.84426180924773,11685289.22257613,71.29521885764109,172.87470308119347,14.992369890621443
State & local,2018-01-01,8309835,5303497,16891298,16702546,512123,3416,379194,40452918,0.6814691191314796,3505722,8581463,188752,50.80404714901129,6099654.010856913,71.07941863592389,173.99137783477735,15.078403023625919
